
 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	1430.219	0.877	1.114	0.898	0.957	42.673	40688.125
2	2651.865	0.815	1.476	0.678	0.951	58.107	102728.474
3	1744.521	0.871	1.025	0.976	0.952	47.130	54812.326
4	2346.213	0.873	1.305	0.766	0.970	54.656	85489.929
5	1718.570	0.856	1.116	0.896	0.952	46.778	53593.801
6	62.476	0.885	1.238	0.808	0.897	8.919	371.478
7	66.321	0.993	1.251	0.799	0.952	9.189	406.291
8	2123.222	0.898	1.254	0.797	0.968	51.994	73596.449
9	1648.404	0.881	1.260	0.794	0.962	45.813	50345.362
10	1799.308	0.854	1.275	0.785	0.949	47.864	57414.561
11	2112.649	0.878	1.155	0.866	0.960	51.864	73047.409
12	1760.861	0.842	1.350	0.741	0.947	47.350	55584.217
13	2703.768	0.862	1.360	0.735	0.965	58.673	105759.133
14	2207.805	0.912	1.132	0.884	0.968	53.019	78037.757
15	2120.338	0.890	1.239	0.807	0.968	51.959	73446.575
16	2198.193	0.850	1.448	0.691	0.963	52.904	77528.705
17	1824.298	0.899	1.231	0.812	0.969	48.195	58614.842
18	1258.170	0.859	1.229	0.814	0.939	40.024	33571.655
19	2561.515	0.854	1.396	0.716	0.963	57.109	97523.461
20	1963.668	0.814	1.483	0.674	0.940	50.002	65458.468
21	2206.844	0.876	1.257	0.795	0.968	53.008	77986.802
22	1760.861	0.846	1.200	0.833	0.942	47.350	55584.217
23	2103.998	0.892	1.193	0.838	0.968	51.758	72599.215
24	1972.318	0.821	1.636	0.611	0.951	50.112	65891.489
25	2167.436	0.845	1.338	0.748	0.948	52.533	75907.223
26	2392.349	0.864	1.439	0.695	0.960	55.191	88023.905
27	2809.496	0.832	1.400	0.714	0.961	59.809	112022.822
28	1076.509	0.869	1.160	0.862	0.950	37.022	26569.924
29	2336.601	0.887	1.309	0.764	0.971	54.544	84965.129
30	1485.967	0.892	1.276	0.783	0.967	43.497	43090.102
31	2199.154	0.907	1.114	0.898	0.969	52.915	77579.561
32	2298.155	0.903	1.109	0.902	0.968	54.093	82876.738
33	1863.706	0.853	1.502	0.666	0.961	48.713	60524.331
34	1982.891	0.851	1.388	0.720	0.962	50.246	66422.027
35	2410.611	0.862	1.326	0.754	0.966	55.401	89033.733
36	2166.474	0.886	1.120	0.893	0.966	52.521	75856.736
37	1673.395	0.852	1.237	0.808	0.958	46.159	51494.571
38	1584.006	0.844	1.385	0.722	0.952	44.909	47424.100
39	2214.533	0.836	1.445	0.692	0.959	53.100	78394.753
40	1448.481	0.870	1.361	0.735	0.960	42.945	41469.917
41	2657.632	0.883	1.280	0.782	0.973	58.170	103063.761
42	1252.403	0.891	1.226	0.816	0.961	39.933	33341.099
43	2303.922	0.856	1.398	0.715	0.965	54.161	83188.891
44	1857.939	0.842	1.447	0.691	0.958	48.637	60243.621
45	2841.215	0.858	1.273	0.785	0.966	60.146	113925.234
46	2103.037	0.888	1.118	0.894	0.964	51.746	72549.473
47	2400.038	0.893	1.162	0.861	0.965	55.280	88448.628
48	1958.862	0.852	1.330	0.752	0.956	49.941	65218.312
49	2590.350	0.896	1.090	0.918	0.972	57.429	99174.824
50	1501.346	0.892	1.151	0.869	0.965	43.722	43760.757
51	1951.173	0.901	1.146	0.873	0.971	49.843	64834.676
52	1189.927	0.877	1.322	0.757	0.962	38.924	30877.651
53	1987.697	0.850	1.449	0.690	0.964	50.307	66663.650
54	2079.008	0.900	1.060	0.944	0.963	51.450	71309.610
55	1651.288	0.890	1.283	0.779	0.961	45.853	50477.522
56	704.537	0.905	1.099	0.910	0.958	29.951	14067.575
57	1258.170	0.877	1.267	0.789	0.956	40.024	33571.655
58	1279.316	0.884	1.095	0.913	0.959	40.359	34421.546
59	2349.097	0.906	1.144	0.874	0.971	54.690	85647.578
60	2381.776	0.902	1.099	0.910	0.969	55.069	87441.025
61	2160.707	0.861	1.370	0.730	0.968	52.451	75554.049
62	1807.958	0.889	1.095	0.913	0.964	47.979	57829.106
63	1619.569	0.832	1.526	0.655	0.957	45.410	49030.141
64	2475.971	0.863	1.474	0.679	0.967	56.147	92679.157
65	2107.843	0.834	1.525	0.656	0.962	51.805	72798.299
66	2085.736	0.866	1.394	0.717	0.965	51.533	71656.054
67	2196.271	0.863	1.497	0.668	0.971	52.881	77427.028
68	1630.142	0.840	1.604	0.623	0.965	45.558	49511.041
69	2088.620	0.905	1.224	0.817	0.974	51.569	71804.700
70	725.682	0.872	1.296	0.771	0.950	30.397	14705.633
71	721.838	0.883	1.334	0.749	0.948	30.316	14588.922
72	1778.162	0.859	1.452	0.689	0.960	47.582	56405.425
73	2282.776	0.894	1.216	0.822	0.970	53.912	82046.244
74	1994.425	0.892	1.169	0.856	0.965	50.392	67002.412
75	1825.260	0.834	1.365	0.732	0.960	48.208	58661.172
76	1695.502	0.901	1.102	0.907	0.964	46.463	52518.360
77	1248.558	0.872	1.286	0.778	0.955	39.871	33187.689
