 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	185.955	0.920	1.193	0.838	0.954	15.387	1907.552
2	239.253	0.886	1.143	0.875	0.947	17.454	2783.870
3	188.298	0.866	1.050	0.952	0.938	15.484	1943.714
4	491.098	0.888	1.119	0.894	0.954	25.006	8186.823
5	225.489	0.830	1.137	0.879	0.937	16.944	2547.135
6	397.095	0.881	1.342	0.745	0.961	22.485	5952.582
7	376.889	0.918	1.177	0.850	0.969	21.906	5504.066
8	412.908	0.867	1.291	0.775	0.962	22.929	6311.673
9	248.916	0.889	1.205	0.830	0.952	17.803	2954.229
10	217.289	0.816	1.294	0.773	0.923	16.633	2409.471
11	226.075	0.877	1.189	0.841	0.936	16.966	2557.065
12	260.337	0.874	1.068	0.936	0.940	18.206	3159.865
13	480.848	0.870	1.116	0.896	0.956	24.743	7931.869
14	312.171	0.890	1.096	0.912	0.950	19.937	4149.078
15	315.099	0.878	1.122	0.891	0.950	20.030	4207.598
16	294.893	0.884	1.092	0.916	0.942	19.377	3809.430
17	347.605	0.818	1.384	0.722	0.948	21.038	4875.194
18	358.440	0.894	1.201	0.832	0.958	21.363	5104.908
19	269.415	0.803	1.157	0.864	0.913	18.521	3326.577
20	358.147	0.866	1.255	0.797	0.950	21.354	5098.654
21	265.316	0.882	1.242	0.805	0.945	18.380	3250.934
22	357.561	0.879	1.152	0.868	0.944	21.337	5086.152
23	248.624	0.897	1.127	0.887	0.949	17.792	2949.018
24	159.599	0.802	1.625	0.616	0.939	14.255	1516.738
25	451.271	0.890	1.306	0.766	0.963	23.970	7211.403
26	316.270	0.881	1.297	0.771	0.949	20.067	4231.082
27	312.463	0.831	1.124	0.890	0.927	19.946	4154.918
28	292.843	0.904	1.086	0.921	0.957	19.310	3769.778
29	254.480	0.907	1.139	0.878	0.963	18.000	3053.834
30	166.042	0.805	1.426	0.701	0.926	14.540	1609.498
31	421.694	0.831	1.532	0.653	0.950	23.171	6514.177
32	326.813	0.898	1.330	0.752	0.960	20.399	4444.390
33	384.210	0.889	1.103	0.907	0.958	22.118	5665.217
34	292.843	0.912	1.133	0.883	0.958	19.310	3769.778
35	202.062	0.846	1.361	0.735	0.956	16.040	2160.675
36	409.687	0.895	1.205	0.830	0.963	22.839	6237.957
37	303.971	0.887	1.103	0.907	0.950	19.673	3986.684
38	391.824	0.892	1.206	0.829	0.959	22.336	5834.451
39	211.433	0.839	1.225	0.817	0.939	16.407	2312.712
40	238.374	0.879	1.085	0.922	0.944	17.421	2768.550
41	242.181	0.852	1.308	0.765	0.938	17.560	2835.137
42	249.209	0.899	1.144	0.874	0.951	17.813	2959.444
43	262.387	0.903	1.038	0.964	0.948	18.278	3197.259
44	253.602	0.900	1.089	0.918	0.951	17.969	3038.034
