 	Area	Circ,	AR	Round	Solidity	Diameter	Volume
36	245,435	0,826	1,320	0,757	0,936	17,678	2892,461
37	183,492	0,914	1,161	0,861	0,954	15,285	1869,770
38	229,657	0,818	1,150	0,870	0,929	17,100	2618,077
39	260,336	0,884	1,024	0,976	0,956	18,206	3159,841
40	196,056	0,878	1,096	0,913	0,942	15,800	2065,059
41	247,188	0,884	1,074	0,931	0,952	17,741	2923,507
42	165,084	0,927	1,066	0,938	0,957	14,498	1595,590
43	47,626	0,923	1,106	0,904	0,918	7,787	247,246
44	248,064	0,891	1,222	0,818	0,950	17,772	2939,071
45	136,450	0,894	1,057	0,946	0,959	13,181	1199,013
46	276,698	0,866	1,510	0,662	0,960	18,770	3462,371
47	4,383	0,869	1,688	0,593	0,811	2,362	6,902
48	225,858	0,913	1,101	0,908	0,953	16,958	2553,394
49	199,854	0,854	1,221	0,819	0,947	15,952	2125,361
50	308,546	0,904	1,278	0,783	0,965	19,821	4077,035
51	213,879	0,883	1,090	0,917	0,951	16,502	2352,964
52	11,395	0,978	1,157	0,865	0,876	3,809	28,936
53	30,679	0,873	1,526	0,655	0,890	6,250	127,830
54	321,695	0,875	1,095	0,913	0,945	20,238	4340,398
55	190,796	0,911	1,031	0,970	0,948	15,586	1982,524
56	244,558	0,837	1,062	0,942	0,931	17,646	2876,980
57	258,875	0,816	1,222	0,819	0,945	18,155	3133,280
58	19,869	0,962	1,181	0,847	0,901	5,030	66,621
59	277,575	0,915	1,088	0,919	0,956	18,799	3478,837
60	346,530	0,906	1,029	0,971	0,960	21,005	4852,613
61	28,050	0,929	1,326	0,754	0,897	5,976	111,752
62	212,710	0,817	1,184	0,845	0,922	16,457	2333,704
63	32,725	0,932	1,330	0,752	0,907	6,455	140,824
64	355,004	0,900	1,013	0,987	0,962	21,260	5031,680
65	391,234	0,882	1,108	0,902	0,955	22,319	5821,293
66	147,553	0,810	1,508	0,663	0,963	13,707	1348,297
67	214,171	0,902	1,143	0,875	0,952	16,513	2357,787
68	428,342	0,898	1,294	0,773	0,965	23,353	6668,829
69	211,249	0,851	1,284	0,779	0,951	16,400	2309,703
70	215,632	0,887	1,127	0,888	0,941	16,570	2381,953
71	233,163	0,921	1,083	0,924	0,958	17,230	2678,261
72	285,464	0,926	1,193	0,838	0,969	19,065	3628,194
73	326,662	0,890	1,234	0,811	0,956	20,394	4441,312
74	403,798	0,857	1,343	0,745	0,951	22,674	6103,946
75	231,410	0,872	1,105	0,905	0,946	17,165	2648,112
76	363,477	0,903	1,111	0,900	0,961	21,513	5212,898
77	311,760	0,881	1,124	0,890	0,956	19,923	4140,905

79	204,237	0,892	1,088	0,919	0,952	16,126	2195,656
80	193,426	0,940	1,110	0,901	0,962	15,693	2023,651
81	413,148	0,828	1,354	0,738	0,948	22,935	6317,172
82	242,805	0,863	1,096	0,913	0,942	17,583	2846,100
83	297,443	0,911	1,198	0,835	0,960	19,461	3858,960

86	312,929	0,915	1,035	0,967	0,956	19,961	4164,212
87	274,069	0,913	1,085	0,922	0,956	18,680	3413,130

91	228,196	0,899	1,163	0,860	0,950	17,045	2593,135

94	399,123	0,871	1,323	0,756	0,955	22,543	5998,251
95	250,110	0,889	1,065	0,939	0,956	17,845	2975,495

97	336,012	0,902	1,102	0,908	0,958	20,684	4633,353
98	280,789	0,898	1,209	0,827	0,962	18,908	3539,433

100	226,735	0,875	1,195	0,837	0,942	16,991	2568,273
101	305,625	0,885	1,299	0,770	0,962	19,726	4019,260
102	193,426	0,914	1,172	0,853	0,954	15,693	2023,651
103	377,210	0,843	1,311	0,763	0,942	21,915	5511,096
104	345,946	0,902	1,203	0,831	0,965	20,987	4840,343
105	295,398	0,884	1,061	0,943	0,948	19,394	3819,226
106	17,239	0,976	1,190	0,841	0,922	4,685	53,843
107	254,200	0,879	1,171	0,854	0,943	17,990	3048,790
108	338,641	0,859	1,354	0,738	0,952	20,765	4687,851
109	22,790	0,921	1,256	0,796	0,881	5,387	81,845
110	304,456	0,894	1,038	0,963	0,950	19,689	3996,227

112	237,838	0,921	1,032	0,969	0,955	17,402	2759,213
113	292,476	0,811	1,317	0,759	0,938	19,297	3762,701
114	227,319	0,898	1,041	0,960	0,949	17,013	2578,208
115	307,085	0,881	1,033	0,968	0,946	19,774	4048,114
116	272,316	0,915	1,033	0,968	0,961	18,620	3380,434
117	369,321	0,823	1,170	0,855	0,930	21,685	5339,114
118	245,142	0,910	1,149	0,871	0,958	17,667	2887,298
119	300,950	0,887	1,108	0,902	0,945	19,575	3927,394
120	227,904	0,867	1,119	0,894	0,940	17,035	2588,156
121	250,694	0,831	1,195	0,837	0,937	17,866	2985,929
122	452,009	0,893	1,144	0,874	0,965	23,990	7229,098
123	28,634	0,980	1,388	0,720	0,925	6,038	115,262
124	28,050	0,941	1,229	0,814	0,923	5,976	111,752
125	266,180	0,879	1,191	0,840	0,948	18,410	3266,827
126	149,598	0,885	1,022	0,979	0,942	13,801	1376,428
127	448,210	0,903	1,159	0,863	0,967	23,889	7138,166
128	421,037	0,876	1,137	0,879	0,954	23,153	6498,971
129	135,866	0,900	1,288	0,776	0,943	13,153	1191,319
130	244,266	0,876	1,144	0,874	0,951	17,635	2871,825
131	206,282	0,892	1,096	0,913	0,951	16,206	2228,721
132	337,473	0,860	1,274	0,785	0,950	20,729	4663,603
133	258,583	0,845	1,284	0,779	0,935	18,145	3127,977
134	442,659	0,886	1,163	0,860	0,957	23,740	7005,959
135	217,385	0,827	1,103	0,907	0,917	16,637	2411,060
136	262,673	0,855	1,169	0,855	0,938	18,288	3202,493
137	290,723	0,835	1,460	0,685	0,934	19,240	3728,921
138	297,443	0,894	1,112	0,899	0,955	19,461	3858,960
139	456,392	0,889	1,084	0,922	0,962	24,106	7334,494
140	307,085	0,846	1,245	0,803	0,933	19,774	4048,114
141	192,257	0,820	1,229	0,813	0,945	15,646	2005,337
142	382,177	0,876	1,092	0,916	0,949	22,059	5620,309
143	312,053	0,891	1,126	0,888	0,948	19,933	4146,727
144	280,789	0,869	1,062	0,942	0,942	18,908	3539,433
145	245,727	0,893	1,017	0,983	0,948	17,688	2897,628
146	239,591	0,805	1,569	0,638	0,928	17,466	2789,776
147	306,209	0,895	1,174	0,852	0,954	19,745	4030,793
148	86,779	0,899	1,261	0,793	0,930	10,511	608,112
149	237,546	0,910	1,016	0,984	0,949	17,391	2754,130
150	321,402	0,887	1,102	0,907	0,958	20,229	4334,486
151	284,003	0,824	1,306	0,766	0,942	19,016	3600,377
152	186,413	0,906	1,219	0,820	0,954	15,406	1914,607
153	184,660	0,925	1,131	0,884	0,955	15,334	1887,662
154	256,830	0,892	1,211	0,826	0,951	18,083	3096,221
155	296,275	0,917	1,030	0,970	0,958	19,422	3836,238
156	210,957	0,885	1,055	0,948	0,954	16,389	2304,912
157	301,242	0,909	1,117	0,895	0,961	19,585	3933,115
158	392,988	0,854	1,141	0,876	0,940	22,369	5860,465
159	323,448	0,899	1,218	0,821	0,954	20,294	4375,927
160	234,332	0,889	1,250	0,800	0,955	17,273	2698,424
161	220,307	0,911	1,015	0,985	0,950	16,748	2459,833
162	214,463	0,867	1,072	0,932	0,942	16,525	2362,614
163	442,075	0,865	1,374	0,728	0,958	23,725	6992,090

165	563,331	0,866	1,319	0,758	0,962	26,782	10057,943
166	413,440	0,860	1,389	0,720	0,957	22,944	6323,875
167	320,234	0,892	1,153	0,868	0,960	20,192	4310,865
168	323,156	0,874	1,284	0,779	0,949	20,284	4369,999

