 	Area	Circ,	AR	Round	Solidity	Diameter	Volume
1	324,032	0,884	1,282	0,780	0,959	20,312	4387,791
2	465,157	0,831	1,600	0,625	0,975	24,336	7546,806
3	263,550	0,895	1,265	0,791	0,952	18,318	3218,536
4	179,401	0,898	1,040	0,961	0,951	15,114	1807,595
5	255,369	0,891	1,243	0,805	0,952	18,032	3069,840
6	195,471	0,835	1,089	0,918	0,935	15,776	2055,833
7	283,126	0,890	1,135	0,881	0,951	18,987	3583,722
8	364,061	0,802	1,704	0,587	0,948	21,530	5225,474
9	250,110	0,867	1,045	0,956	0,947	17,845	2975,495
10	226,443	0,881	1,137	0,880	0,939	16,980	2563,310
11	301,826	0,870	1,104	0,906	0,946	19,603	3944,565
12	372,243	0,895	1,243	0,805	0,962	21,770	5402,599
13	456,976	0,907	1,057	0,946	0,962	24,121	7348,585
14	364,061	0,842	1,163	0,860	0,937	21,530	5225,474
15	192,841	0,860	1,115	0,897	0,952	15,670	2014,487
16	213,294	0,822	1,104	0,906	0,928	16,480	2343,327
17	257,999	0,867	1,178	0,849	0,955	18,124	3117,379
18	188,167	0,912	1,049	0,953	0,950	15,478	1941,679
19	250,694	0,869	1,409	0,710	0,954	17,866	2985,929
20	357,049	0,876	1,149	0,870	0,951	21,322	5075,226
21	195,471	0,878	1,220	0,820	0,947	15,776	2055,833
22	191,965	0,856	1,264	0,791	0,931	15,634	2000,768
23	285,464	0,914	1,073	0,932	0,956	19,065	3628,194
24	313,806	0,909	1,095	0,913	0,956	19,989	4181,721
25	448,795	0,803	1,437	0,696	0,946	23,904	7152,131
26	205,990	0,853	1,187	0,843	0,933	16,195	2223,987
27	260,044	0,866	1,331	0,751	0,946	18,196	3154,522
28	205,113	0,900	1,156	0,865	0,955	16,160	2209,807
29	218,846	0,843	1,206	0,829	0,935	16,693	2435,406
30	261,797	0,907	1,088	0,919	0,951	18,257	3186,476
31	177,064	0,905	1,088	0,919	0,949	15,015	1772,383
32	328,123	0,855	1,112	0,899	0,944	20,440	4471,140
33	348,283	0,843	1,387	0,721	0,956	21,058	4889,484
34	345,362	0,842	1,142	0,876	0,943	20,970	4828,084
35	212,710	0,874	1,113	0,899	0,945	16,457	2333,704
