 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	381.574	0.888	1.275	0.784	0.963	22.042	5607.024
2	193.862	0.877	1.105	0.905	0.941	15.711	2030.499
3	247.452	0.941	1.130	0.885	0.966	17.750	2928.201
4	180.391	0.840	1.336	0.749	0.927	15.155	1822.581
5	388.895	0.881	1.269	0.788	0.960	22.252	5769.165
6	413.494	0.880	1.134	0.882	0.953	22.945	6325.107
7	222.268	0.917	1.122	0.891	0.955	16.823	2492.749
8	203.233	0.913	1.108	0.903	0.951	16.086	2179.491
9	234.567	0.882	1.112	0.899	0.945	17.282	2702.493
10	210.261	0.929	1.153	0.867	0.955	16.362	2293.520
11	247.452	0.909	1.287	0.777	0.962	17.750	2928.201
12	287.279	0.878	1.198	0.835	0.952	19.125	3662.852
13	483.776	0.879	1.200	0.834	0.962	24.819	8004.439
14	354.047	0.893	1.291	0.775	0.958	21.232	5011.356
15	249.209	0.894	1.222	0.818	0.950	17.813	2959.444
16	278.494	0.885	1.268	0.789	0.951	18.831	3496.122
17	398.266	0.884	1.219	0.820	0.963	22.519	5978.940
18	256.530	0.887	1.130	0.885	0.965	18.073	3090.808
19	234.567	0.823	1.420	0.704	0.924	17.282	2702.493
20	412.616	0.900	1.233	0.811	0.962	22.921	6304.960
21	336.184	0.902	1.115	0.897	0.959	20.689	4636.910
22	436.629	0.880	1.381	0.724	0.965	23.578	6863.289
23	314.806	0.911	1.065	0.939	0.964	20.021	4201.734
24	269.708	0.913	1.100	0.909	0.962	18.531	3332.002
25	474.405	0.900	1.131	0.884	0.959	24.577	7772.994
26	320.956	0.901	1.142	0.875	0.956	20.215	4325.454
27	312.463	0.898	1.169	0.856	0.958	19.946	4154.918
28	208.211	0.898	1.096	0.913	0.953	16.282	2260.061
29	371.910	0.918	1.138	0.879	0.968	21.761	5395.372
30	315.099	0.902	1.127	0.887	0.960	20.030	4207.598
31	209.090	0.867	1.107	0.903	0.942	16.316	2274.381
32	235.153	0.917	1.078	0.928	0.962	17.303	2712.621
33	203.819	0.875	1.288	0.776	0.946	16.109	2188.919
34	248.331	0.910	1.137	0.880	0.953	17.782	2943.809
35	191.812	0.876	1.182	0.846	0.944	15.628	1998.379
36	316.856	0.891	1.131	0.884	0.950	20.086	4242.841
37	241.595	0.881	1.069	0.936	0.944	17.539	2824.859
38	313.635	0.874	1.229	0.814	0.951	19.983	4178.304
39	373.668	0.887	1.105	0.905	0.953	21.812	5433.652
40	205.283	0.885	1.152	0.868	0.942	16.167	2212.549
41	406.466	0.907	1.313	0.762	0.971	22.749	6164.531
42	304.849	0.914	1.036	0.966	0.961	19.701	4003.980
43	233.103	0.804	1.169	0.855	0.909	17.228	2677.228
44	321.834	0.881	1.191	0.840	0.949	20.243	4343.225
45	200.012	0.883	1.238	0.808	0.944	15.958	2127.879
46	404.709	0.890	1.143	0.875	0.956	22.700	6124.602
47	193.569	0.929	1.160	0.862	0.954	15.699	2025.900
48	223.146	0.912	1.077	0.929	0.950	16.856	2507.542
49	143.200	0.894	1.245	0.803	0.939	13.503	1289.078
50	401.195	0.874	1.361	0.735	0.966	22.601	6045.005
