 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	243.938	0.908	1.157	0.864	0.956	17.624	2866.047
2	238.667	0.924	1.027	0.974	0.967	17.432	2773.654
3	257.702	0.887	1.145	0.873	0.952	18.114	3112.002
4	335.891	0.856	1.306	0.766	0.951	20.680	4630.853
5	400.609	0.898	1.202	0.832	0.959	22.585	6031.773
6	257.116	0.880	1.148	0.871	0.952	18.093	3101.399
7	261.216	0.898	1.084	0.923	0.962	18.237	3175.873
8	217.582	0.921	1.082	0.924	0.961	16.644	2414.343
9	316.856	0.907	1.177	0.850	0.961	20.086	4242.841
10	243.060	0.875	1.182	0.846	0.949	17.592	2850.578
11	228.710	0.868	1.242	0.805	0.953	17.065	2601.911
12	188.298	0.936	1.109	0.902	0.963	15.484	1943.714
13	241.303	0.902	1.269	0.788	0.961	17.528	2819.724
14	215.532	0.925	1.076	0.930	0.956	16.566	2380.305
15	147.886	0.805	1.265	0.791	0.928	13.722	1352.860
16	204.404	0.914	1.088	0.919	0.954	16.132	2198.361
17	375.425	0.896	1.181	0.846	0.960	21.863	5472.022
18	378.939	0.866	1.111	0.900	0.949	21.965	5549.032
19	204.404	0.882	1.284	0.779	0.944	16.132	2198.361
20	310.999	0.845	1.367	0.731	0.953	19.899	4125.747
21	346.140	0.887	1.119	0.894	0.958	20.993	4844.423
22	284.058	0.884	1.262	0.793	0.958	19.018	3601.417
23	253.016	0.880	1.135	0.881	0.947	17.949	3027.516
24	367.811	0.817	1.356	0.738	0.936	21.640	5306.404
25	371.910	0.900	1.085	0.922	0.965	21.761	5395.372
26	236.324	0.883	1.068	0.936	0.951	17.346	2732.915
27	352.290	0.871	1.141	0.876	0.965	21.179	4974.097
28	216.704	0.832	1.118	0.894	0.934	16.611	2399.736
29	317.735	0.908	1.102	0.907	0.964	20.113	4260.499
30	270.294	0.889	1.116	0.896	0.946	18.551	3342.861
31	224.318	0.926	1.140	0.877	0.956	16.900	2527.313
32	341.162	0.892	1.176	0.850	0.954	20.842	4740.288
33	3.514	1.000	1.651	0.606	0.889	2.115	4.956
