 	Area	Circ,	AR	Round	Solidity	Diameter	Volume
1	101,447	0,824	1,041	0,960	0,925	11,365	768,636
2	3,849	0,896	1,836	0,545	0,877	2,214	5,679
3	3,387	0,988	1,489	0,672	0,880	2,077	4,688
4	143,626	0,873	1,135	0,881	0,949	13,523	1294,837
5	155,634	0,893	1,089	0,919	0,952	14,077	1460,560
6	145,782	0,856	1,114	0,898	0,945	13,624	1324,090
7	8,313	1,000	1,249	0,800	0,939	3,253	18,029
8	8,159	1,000	1,180	0,847	0,898	3,223	17,531
9	144,550	0,875	1,412	0,708	0,948	13,566	1307,347
10	14,470	0,966	1,093	0,915	0,945	4,292	41,408
