
 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	656.478	0.914	1.169	0.856	0.957	28.911	12653.024
2	1159.170	0.853	1.309	0.764	0.946	38.417	29688.226
3	1221.646	0.877	1.128	0.886	0.956	39.439	32120.449
4	2240.484	0.898	1.193	0.838	0.968	53.410	79776.815
5	2301.999	0.891	1.074	0.931	0.966	54.139	83084.797
6	2083.814	0.849	1.351	0.740	0.967	51.509	71557.013
7	1570.550	0.849	1.444	0.692	0.955	44.718	46821.073
8	2397.155	0.863	1.481	0.675	0.964	55.246	88289.277
9	1992.503	0.848	1.487	0.673	0.961	50.368	66905.564
10	1928.105	0.834	1.441	0.694	0.958	49.547	63688.303
11	2156.863	0.869	1.454	0.688	0.973	52.404	75352.482
12	1563.822	0.833	1.566	0.639	0.961	44.622	46520.526
13	2039.600	0.890	1.215	0.823	0.969	50.960	69291.722
14	696.847	0.890	1.313	0.762	0.951	29.787	13837.903
15	1738.754	0.851	1.439	0.695	0.958	47.052	54540.754
16	2297.193	0.818	1.522	0.657	0.956	54.082	82824.751
17	2232.795	0.902	1.214	0.823	0.973	53.319	79366.476
18	1794.502	0.848	1.354	0.738	0.964	47.800	57184.689
19	1649.366	0.879	1.085	0.921	0.952	45.826	50389.403
20	1220.684	0.878	1.301	0.769	0.957	39.424	32082.549
21	1958.862	0.911	1.153	0.867	0.972	49.941	65218.312
22	1714.725	0.868	1.176	0.850	0.958	46.725	53414.056
23	1769.512	0.866	1.387	0.721	0.966	47.466	55994.319
24	2008.843	0.886	1.178	0.849	0.964	50.574	67730.256
25	2441.369	0.880	1.322	0.756	0.973	55.753	90743.152
26	1881.968	0.875	1.168	0.856	0.963	48.951	61416.112
27	2241.446	0.842	1.572	0.636	0.964	53.422	79828.157
28	1399.462	0.888	1.239	0.807	0.962	42.212	39382.687
29	2466.359	0.836	1.617	0.618	0.960	56.038	92140.012
30	397.924	0.888	1.099	0.910	0.946	22.509	5971.230
31	2338.524	0.897	1.163	0.860	0.970	54.566	85070.003
32	2037.678	0.895	1.187	0.843	0.967	50.936	69193.783
33	2755.671	0.852	1.374	0.728	0.965	59.234	108819.023
34	2227.989	0.920	1.099	0.910	0.974	53.261	79110.373
35	2342.368	0.827	1.467	0.682	0.959	54.611	85279.880
36	2248.174	0.895	1.241	0.806	0.971	53.502	80187.859
37	1915.609	0.903	1.115	0.897	0.966	49.387	63070.204
38	2081.892	0.874	1.378	0.726	0.971	51.485	71458.018
39	2488.466	0.890	1.294	0.773	0.969	56.289	93381.611
40	1260.092	0.908	1.160	0.862	0.965	40.055	33648.625
41	2103.037	0.878	1.166	0.858	0.960	51.746	72549.473
42	1941.561	0.885	1.100	0.909	0.965	49.720	64356.192
43	2501.922	0.876	1.209	0.827	0.967	56.441	94140.074
44	1457.132	0.828	1.476	0.677	0.945	43.073	41841.966
45	2342.368	0.862	1.439	0.695	0.963	54.611	85279.880
46	2218.378	0.884	1.229	0.814	0.972	53.146	78598.995
47	2321.223	0.887	1.092	0.915	0.969	54.364	84127.695
48	2086.697	0.896	1.162	0.861	0.965	51.545	71705.591
49	1571.511	0.906	1.269	0.788	0.967	44.732	46864.061
50	2256.824	0.873	1.316	0.760	0.962	53.605	80651.124
51	1969.435	0.875	1.359	0.736	0.967	50.076	65747.043
52	1773.356	0.881	1.220	0.819	0.959	47.517	56176.909
53	1948.289	0.887	1.220	0.820	0.968	49.806	64691.006
54	1416.763	0.914	1.083	0.923	0.964	42.472	40115.251
55	2117.455	0.861	1.368	0.731	0.965	51.923	73296.803
56	2516.340	0.875	1.361	0.735	0.972	56.603	94954.980
57	982.314	0.897	1.057	0.946	0.956	35.366	23160.057
58	2376.009	0.902	1.163	0.860	0.970	55.002	87123.635
59	1930.988	0.885	1.212	0.825	0.964	49.584	63831.227
60	2223.183	0.852	1.421	0.704	0.961	53.204	78854.546
61	2157.824	0.909	1.117	0.895	0.970	52.416	75402.857
62	1926.182	0.884	1.363	0.734	0.961	49.523	63593.080
63	1887.735	0.834	1.615	0.619	0.955	49.026	61698.628
64	2416.378	0.895	1.223	0.817	0.973	55.467	89353.423
65	773.741	0.909	1.320	0.758	0.968	31.387	16190.382
66	2453.864	0.896	1.021	0.979	0.968	55.896	91440.693
67	1530.181	0.870	1.405	0.712	0.958	44.139	45027.505
68	1564.783	0.866	1.434	0.697	0.955	44.636	46563.422
69	2252.018	0.887	1.187	0.843	0.968	53.548	80393.645
70	694.925	0.897	1.362	0.734	0.960	29.746	13780.683
71	58.631	0.992	1.169	0.856	0.917	8.640	337.721
72	1747.405	0.821	1.632	0.613	0.963	47.168	54948.280
73	1829.104	0.854	1.393	0.718	0.962	48.259	58846.612
74	2102.076	0.876	1.138	0.878	0.967	51.734	72499.742
75	2083.814	0.915	1.180	0.847	0.973	51.509	71557.013
76	2118.416	0.884	1.042	0.960	0.968	51.935	73346.715
77	1387.928	0.897	1.190	0.840	0.963	42.038	38896.818
78	1790.657	0.830	1.247	0.802	0.955	47.749	57001.012
79	2181.853	0.922	1.057	0.946	0.974	52.707	76665.870
80	2387.543	0.871	1.308	0.765	0.966	55.135	87758.799
81	1632.065	0.898	1.057	0.946	0.964	45.585	49598.645
82	1886.774	0.901	1.081	0.925	0.963	49.013	61651.512
83	1212.995	0.888	1.206	0.829	0.955	39.299	31779.885
84	1594.579	0.852	1.091	0.917	0.958	45.059	47899.708
85	2474.048	0.877	1.363	0.734	0.969	56.125	92571.244
86	2258.747	0.833	1.120	0.893	0.946	53.628	80754.192
87	1872.357	0.879	1.286	0.778	0.962	48.826	60946.211
88	1746.444	0.867	1.227	0.815	0.958	47.155	54902.949
89	1138.024	0.804	1.200	0.833	0.933	38.065	28879.578
90	2224.145	0.858	1.451	0.689	0.965	53.215	78905.689
91	2328.912	0.889	1.282	0.780	0.972	54.454	84546.066
92	2267.397	0.891	1.258	0.795	0.969	53.730	81218.543
93	1999.231	0.862	1.386	0.722	0.965	50.453	67244.735
94	1640.715	0.876	1.217	0.821	0.963	45.706	49993.503
95	2016.532	0.880	1.382	0.724	0.966	50.671	68119.509
96	1693.579	0.912	1.092	0.916	0.970	46.436	52429.068
97	2145.329	0.888	1.347	0.743	0.969	52.264	74748.859
98	1980.969	0.853	1.268	0.789	0.960	50.222	66325.460
99	1258.170	0.883	1.339	0.747	0.967	40.024	33571.655
100	1518.647	0.892	1.166	0.857	0.960	43.973	44519.360
101	2377.932	0.903	1.121	0.892	0.972	55.024	87229.388
102	2278.931	0.861	1.258	0.795	0.962	53.867	81839.057
103	1412.918	0.904	1.127	0.887	0.965	42.414	39952.070
104	767.013	0.911	1.199	0.834	0.959	31.250	15979.663
105	1711.842	0.865	1.247	0.802	0.948	46.686	53279.380
106	2053.057	0.845	1.457	0.686	0.969	51.128	69978.585
107	2242.407	0.883	1.024	0.976	0.961	53.433	79879.510

