 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	2510.573	0.857	1.414	0.707	0.965	56.538	94628.737
2	1925.221	0.899	1.181	0.847	0.966	49.510	63545.486
3	2247.213	0.850	1.358	0.736	0.958	53.491	80136.440
4	2951.749	0.819	1.638	0.611	0.954	61.305	120637.689
5	1451.365	0.866	1.116	0.896	0.947	42.988	41593.810
6	1852.172	0.870	1.275	0.784	0.960	48.562	59963.346
7	769.896	0.921	1.109	0.902	0.959	31.309	16069.859
8	181.661	0.962	1.116	0.896	0.943	15.208	1841.857
9	2057.862	0.898	1.011	0.989	0.970	51.187	70224.440
10	2156.863	0.879	1.283	0.780	0.968	52.404	75352.482
11	2554.787	0.897	1.114	0.898	0.972	57.034	97139.475
12	1779.123	0.850	1.587	0.630	0.969	47.595	56451.166
13	1907.920	0.896	1.063	0.941	0.965	49.287	62690.835
14	2263.552	0.889	1.391	0.719	0.974	53.685	81012.056
15	1641.676	0.895	1.185	0.844	0.961	45.719	50037.440
16	1620.531	0.862	1.373	0.728	0.955	45.424	49073.795
17	2548.058	0.858	1.430	0.700	0.966	56.959	96755.993
18	1905.998	0.810	1.747	0.572	0.959	49.262	62596.112
19	1903.114	0.880	1.305	0.767	0.963	49.225	62454.117
20	2154.940	0.870	1.204	0.830	0.958	52.381	75251.766
21	2178.008	0.890	1.175	0.851	0.967	52.660	76463.319
22	2123.222	0.877	1.146	0.873	0.963	51.994	73596.449
23	1878.124	0.883	1.270	0.787	0.967	48.901	61228.007
24	2132.834	0.874	1.410	0.709	0.969	52.111	74096.763
25	2029.988	0.886	1.157	0.864	0.969	50.840	68802.490
26	2458.670	0.820	1.554	0.643	0.960	55.951	91709.451
27	2361.592	0.910	1.094	0.914	0.973	54.835	86331.844
28	2517.301	0.877	1.252	0.799	0.965	56.614	95009.391
29	2072.280	0.919	1.108	0.903	0.975	51.366	70963.728
30	1790.657	0.880	1.099	0.910	0.965	47.749	57001.012
31	1937.716	0.877	1.219	0.820	0.966	49.671	64165.130
32	1763.745	0.889	1.158	0.863	0.962	47.388	55720.806
33	1782.968	0.821	1.230	0.813	0.939	47.646	56634.250
34	2201.077	0.850	1.475	0.678	0.966	52.939	77681.304
35	2101.115	0.896	1.252	0.799	0.971	51.723	72450.022
36	739.139	0.888	1.237	0.808	0.952	30.677	15116.554
37	2202.999	0.871	1.311	0.763	0.963	52.962	77783.092
38	1871.396	0.885	1.156	0.865	0.963	48.813	60899.288
39	2174.164	0.884	1.099	0.910	0.966	52.614	76260.946
40	1996.348	0.901	1.174	0.852	0.969	50.417	67099.306
41	2150.135	0.906	1.197	0.835	0.968	52.322	75000.172
42	1737.793	0.873	1.173	0.853	0.956	47.039	54495.535
43	1789.696	0.870	1.391	0.719	0.968	47.736	56955.124
44	2265.475	0.845	1.585	0.631	0.965	53.707	81115.278
45	1951.173	0.892	1.127	0.887	0.964	49.843	64834.676
46	2321.223	0.904	1.158	0.863	0.970	54.364	84127.695
47	2241.446	0.911	1.104	0.905	0.972	53.422	79828.157
48	2479.815	0.900	1.292	0.774	0.973	56.191	92895.108
49	1285.083	0.899	1.174	0.852	0.966	40.450	34654.561
50	1961.745	0.829	1.548	0.646	0.963	49.978	65362.370
51	2202.999	0.884	1.242	0.805	0.971	52.962	77783.092
52	1559.977	0.889	1.260	0.793	0.964	44.567	46349.074
